,Unnamed: 0,text,tweet_coord,tweet_created,tweet_location,negative,positive,neutral,compound,lemmatized,clean,blob_polarity,blob_subjectivity,keywords,latitude,longitude,longtitude
0,0, thanks,,2015-02-24 11:42:48 -0800,usa,0.0,1.0,0.0,0.4404,['thanks'],thanks,0.2,0.2, compliment,39.7837304,-100.4458825,0.0
1,1, Thanks for taking care of that MR Happy customer,,2015-02-24 11:42:41 -0800,"Richmond, VA",0.0,0.62,0.38,0.8689,"['thanks', 'taking', 'care', 'mr', 'happy', 'customer']",thanks taking care mr happy customer,0.5,0.6, compliment,37.5385087,-77.43428,0.0
2,2, still no refund or word via DM Please resolve this issue as your Cancelled Flightled flight was useless to my assistants trip,,2015-02-24 11:39:45 -0800,"Bay Area, California ",0.242,0.17,0.588,-0.2732,"['still', 'refund', 'word', 'via', 'dm', 'please', 'resolve', 'issue', 'cancelled', 'flightled', 'useless', 'assistant', 'trip']",still refund word via dm please resolve issue cancelled flightled useless assistant trip,-0.5,0.2, refund cancellation online,37.7884969,-122.3558473,0.0
3,3, Delayed due to lack of crew and now delayed again because theres a long line for deicing Still need to improve service united,,2015-02-24 11:39:25 -0800,,0.212,0.198,0.59,0.1531,"['delayed', 'due', 'lack', 'crew', 'delayed', 'there', 'long', 'line', 'deicing', 'still', 'need', 'improve', 'service']",delayed due lack crew delayed there long line deicing still need improve service,-0.0875,0.3875, staff delay,,,0.0
4,4, thanks  we filled it out Hows our luck with this Is it common,,2015-02-24 11:38:15 -0800,,0.0,0.349,0.6509999999999999,0.7096,"['thanks', 'filled', 'hows', 'luck', 'common']",thanks filled hows luck common,0.10000000000000003,0.5333333333333333, compliment,,,0.0
5,5, Your ERIORD express connections are hugely popular  now if only we could have an ERIEWR hop ,,2015-02-24 11:36:12 -0800,"Erie, PA",0.0,0.171,0.8290000000000001,0.4754,"['eriord', 'express', 'connection', 'hugely', 'popular', 'could', 'eriewr', 'hop']",eriord express connection hugely popular could eriewr hop,0.6,0.9, connection,42.1294712,-80.0852695,0.0
6,9, Gate agent hooked me up with alternate flights If you have a way to PREVENT the constant issues that would rock,,2015-02-24 11:19:32 -0800,"Columbus, Ohio",0.0,0.08800000000000001,0.912,0.2103,"['gate', 'agent', 'hooked', 'alternate', 'flight', 'way', 'prevent', 'constant', 'issue', 'would', 'rock']",gate agent hooked alternate flight way prevent constant issue would rock,0.0,0.16666666666666666, staff,39.9622601,-83.0007065,0.0
7,12, Thanks It is on the same ticket,,2015-02-24 11:10:47 -0800,"Portland, OR",0.0,0.326,0.674,0.4404,"['thanks', 'ticket']",thanks ticket,0.2,0.2, compliment ticketing_billing,45.5202471,-122.6741949,0.0
8,14, is the worst Nonrefundable First class tickets Oh because when you select GlobalFC their system auto selects economy wupgrade,,2015-02-24 11:08:15 -0800,Las Vegas ,0.18600000000000003,0.0,0.8140000000000001,-0.6249,"['worst', 'nonrefundable', 'first', 'class', 'ticket', 'oh', 'select', 'globalfc', 'system', 'auto', 'selects', 'economy', 'wupgrade']",worst nonrefundable first class ticket oh select globalfc system auto selects economy wupgrade,-0.375,0.6666666666666666, ticketing_billing,36.1662859,-115.149225,0.0
9,15,  So I can buy tix 3 days before flight but cant transfer the tix  Flawed security logic Flawed customer service,,2015-02-24 11:07:12 -0800,,0.0,0.154,0.846,0.4767,"['buy', 'tix', 'day', 'cant', 'transfer', 'tix', 'flawed', 'security', 'logic', 'flawed', 'customer', 'service']",buy tix day cant transfer tix flawed security logic flawed customer service,-0.5,0.5, staff ticketing_billing,,,0.0
