,user,date,text,location,coordinates
0,ABC,Wed Jul 03 17:33:01 +0000 2019,United Airlines apologizes after accidentally placing unaccompanied 14-year-old on flight to wrong country. https://t.co/WJp3kqlofk,New York City / Worldwide,
1,TIME,Wed Jul 03 17:30:01 +0000 2019,United Airlines apologizes after putting unaccompanied minor on wrong international flight https://t.co/gh4D4Y9hpM,,
2,SecretFlying,Tue Jul 02 14:15:28 +0000 2019,"United Airlines put unaccompanied minor on a plane to the wrong country.

https://t.co/m2hSbHg83s https://t.co/NoaHqahbbs",,
3,AbanCindy,Wed Jul 03 23:56:38 +0000 2019,RT @uniteherehawaii: HAPPENING NOW: Airline catering workers who provide food &amp; beverage aboard commercial flights departing from #HNL airp…,"Hawaii, USA",
4,adaezeone,Wed Jul 03 23:54:25 +0000 2019,RT @MakiSpoke: United Airlines is the *most* ghetto airline in America.,Jersey ,
5,meownikaa,Wed Jul 03 23:49:39 +0000 2019,"@wiillld we actually dont have many options because there is a layover no matter what, its basically delta,united o… https://t.co/F6MMi7v4zA",,
6,okaypraxis,Wed Jul 03 23:45:27 +0000 2019,Imma use this $200 voucher from United Airlines to fly to the CEO’s mansion and make him kiss my ass,wherever,
7,Matt_J_Kimball,Wed Jul 03 23:42:47 +0000 2019,RT @uniteherehawaii: HAPPENING NOW: Airline catering workers who provide food &amp; beverage aboard commercial flights departing from #HNL airp…,Las Vegas,
8,Carlos_arango26,Wed Jul 03 23:41:40 +0000 2019,RT @ABC: United Airlines apologizes after accidentally placing unaccompanied 14-year-old on flight to wrong country. https://t.co/WJp3kqlofk,,
9,stacey_stearns,Wed Jul 03 23:39:22 +0000 2019,No big surprises on this list...Only one U.S. carrier received five stars in the annual on-time performance ratings… https://t.co/IKQ54EkQZu,Connecticut,
10,alex_vercetti,Wed Jul 03 23:36:00 +0000 2019,RT @dose: United Airlines apologized to Anton Bergs’ family after a representative escorted the teen to the wrong gate for a plane headed t…,Somewhere on Planet Earth,
11,93Court,Wed Jul 03 23:34:47 +0000 2019,RT @people: United Airlines Apologizes After Placing 14-Year-Old Boy on Flight to the Wrong Country https://t.co/0CkM9lzgHg,"Wisconsin, USA",
12,Blanco19971,Wed Jul 03 23:29:50 +0000 2019,RT @people: United Airlines Apologizes After Placing 14-Year-Old Boy on Flight to the Wrong Country https://t.co/0CkM9lzgHg,"Chicago, IL",
13,TheBabaJoon,Wed Jul 03 23:29:39 +0000 2019,United Airlines unaccompanied minor: Airline apologizes after putting unaccompanied 14-year-old on a flight to Germ… https://t.co/Fxi2PQ9zz8,"Las Vegas, NV",
14,SophieCoberly,Wed Jul 03 23:26:21 +0000 2019,RT @people: United Airlines Apologizes After Placing 14-Year-Old Boy on Flight to the Wrong Country https://t.co/0CkM9lzgHg,,
15,916Rebel,Wed Jul 03 23:25:33 +0000 2019,RT @ABCWorldNews: United Airlines apologizes after accidentally placing unaccompanied 14-year-old on flight to wrong country. https://t.co/…,Shop lifting at Walmart,
16,KaylaColgan,Wed Jul 03 23:22:07 +0000 2019,RT @people: United Airlines Apologizes After Placing 14-Year-Old Boy on Flight to the Wrong Country https://t.co/0CkM9lzgHg,Long Island,
17,people,Wed Jul 03 23:21:24 +0000 2019,United Airlines Apologizes After Placing 14-Year-Old Boy on Flight to the Wrong Country https://t.co/0CkM9lzgHg,,
18,KNOPTV,Wed Jul 03 23:19:14 +0000 2019,United Airlines puts boy on wrong international flight https://t.co/8IurbouTfj,"North Platte, NE",
19,firozkhan944,Wed Jul 03 23:07:36 +0000 2019,United Is Letting Passengers Take Their Pick of 3 Free Snacks on Flights https://t.co/GDhNcL7CFK https://t.co/Pb0mcVQtxw,"Hyderabad, India",
20,SadDiego,Wed Jul 03 23:06:45 +0000 2019,@k_pendergrast It only got wilder. Sign up for united airlines frequent flyer miles so you can see the madness. 😂,"Brooklyn, NY",
21,lisaefiore,Wed Jul 03 23:04:41 +0000 2019,"Stacey &amp; Lawrence travel w/ daughter Emery to Maui on United Airlines from LAX. Emery, all excited holds up a Unite… https://t.co/TW7noKlPAt","Los Angeles, CA",
22,jdmurphy_300,Wed Jul 03 23:02:49 +0000 2019,RT @uniteherehawaii: HAPPENING NOW: Airline catering workers who provide food &amp; beverage aboard commercial flights departing from #HNL airp…,,
23,NYBizJournal,Wed Jul 03 23:01:41 +0000 2019,The Chicago-based carrier took definitive action to help separate the airline for a troublesome part of its long hi… https://t.co/LexMUUuoKM,"New York, USA",
24,bitchybecki,Wed Jul 03 23:00:13 +0000 2019,"@united United Airlines, is it possible for you not to suck???? Using a voucher bc u sucked last year, we’ve spent… https://t.co/735eZz94Vf",,
25,myprwirenews,Wed Jul 03 22:57:32 +0000 2019,RT @ABC: United Airlines apologizes after accidentally placing unaccompanied 14-year-old on flight to wrong country. https://t.co/WJp3kqlofk,"Bellevue, WA",
26,tdjohnston763,Wed Jul 03 22:56:13 +0000 2019,@starheal Me too....Vodka and United Airlines!😂,"The Woodlands, TX",
