,user,date,text,location,coordinates
0,smitaprakash,Sat Aug 10 08:10:19 +0000 2019,"Yeah sure! 😀 I am sure that is a valid boarding pass of United Airlines. Banega Khalistan, tumhare mulk me se. Jais… https://t.co/0NIdkmaOKb","New Delhi, India",
1,MailOnline,Sun Aug 11 08:11:44 +0000 2019,Malaysian man charged after 'hiding a camera in a first-class bathroom' on a United Airlines flight which was disco… https://t.co/5zPu0SBysb,,
2,tathagata2,Sun Aug 11 08:52:34 +0000 2019,"Rono Dutta,Shillong boy and graduate of St Edmund’s school,Shillong,went up to become the President of United Airli… https://t.co/m2r9pjgXBK","Shillong, India",
3,MACH09346390,Mon Aug 12 23:52:36 +0000 2019,RT @jets_private: 2018 United Airlines Boeing 787-10 Dreamliner 787-10 N12003 c/n 40935 at San Francisco Airport 2019. [OC] 4994X3329 #avge…,,
4,RaptorJesuss,Mon Aug 12 23:51:58 +0000 2019,"@wisalallen United is issuing refunds/flight changes now, not sure which airlines you grabbed.","San Jose, California",
5,rpnorton,Mon Aug 12 23:50:49 +0000 2019,"RT @calparks: Today Board members Bob Walter and Cathy Fisher joined us to welcome new Board member, Marie Downey from United Airlines. We…",San Francisco,
6,mctmat5596,Mon Aug 12 23:47:21 +0000 2019,"RT @UHpres: This is United Airlines’ travel pack—red socks, red eye covers, red pouch. Go Red!! https://t.co/SbgLLPZB62",,
7,TravelBds,Mon Aug 12 23:45:33 +0000 2019,BDS Travel BdsTravel United Airlines Now Tells Pilots No Drinking for 12 Hours Before Shift Starts… https://t.co/25LuShscr8,"Benito Juárez, Quintana Roo",
8,TraveloffPath,Mon Aug 12 23:45:00 +0000 2019,Perverted Man ARRESTED after installing secret camera in Bathroom on United Flight to record women:… https://t.co/SQmJi3kOAr,"Kelowna, British Columbia",
9,sibirrist,Mon Aug 12 23:30:37 +0000 2019,RT @Gizmodo: Man accused of hiding spy cam in United Airlines bathroom https://t.co/83ypgBIgbx https://t.co/r5FLZnB6aS,,
