,user,date,text,location,coordinates
0,cnnbrk,Fri Jun 21 12:54:31 +0000 2019,United Airlines has suspended one of its flights and other airlines are re-routing planes to avoid the Gulf of Oman… https://t.co/JIl5YMCbGI,Everywhere,
1,WhatTheFFacts,Tue Jun 25 00:00:22 +0000 2019,"Until 1970, United Airlines had ‘men only' flights serving steaks, brandy and cigars.",Worldwide,
2,tariqnasheed,Mon Jun 24 21:12:55 +0000 2019,"More anti-Black racism coming from airlines... 
United pilot from SFO claims airline discriminated on basis of race… https://t.co/ZbqI4MUh6g",Los Angeles,
3,BradlyNeer,Fri Jun 28 23:59:03 +0000 2019,Uhgggg these delays United Airlines suck,"Warsaw, Indiana",
4,xiaomaobao,Fri Jun 28 23:55:11 +0000 2019,@thebellyboy You should fuss at United Airlines,"Washington, USA",
5,bugrasenturk,Fri Jun 28 23:39:27 +0000 2019,"RT @spectatorindex: Best business class lounges, 2018.

1. Turkish Airlines
2. Qatar Airways
3. Virgin Atlantic
4. Qantas Airways
5. Singap…",Ankara,
6,Siwckc,Fri Jun 28 23:39:13 +0000 2019,"Scroll ...Part 2

Celebrated #StonewallDay with prideliveofficial by #StonewallInn This day was ☉🌡🔥 but the vibe, e… https://t.co/csyj30l1Nx","Brooklyn, NY",
7,AysiaJanae,Fri Jun 28 23:38:34 +0000 2019,"@NathanSayz @united Worst airline I’ve ever flown with and I’ve flown with some real cheap airlines before, they we… https://t.co/RXpvlrtBXr","Los Angeles, CA",
8,flagmingsandfam,Fri Jun 28 23:37:23 +0000 2019,RT @s0syck: Sapphire Reserve Strains JPMorgan’s Ties With United Airlines https://t.co/vtes4WRixb,,
9,MitchellDonise,Fri Jun 28 23:36:27 +0000 2019,RT @LockSusie: Shout out to Amy -United Airlines Kansas City.. delay on first leg of international flight. Amy went above and beyond in unc…,"Camden Point, MO",
10,BolindoMiss1975,Fri Jun 28 23:33:34 +0000 2019,RT @24RussellH: Remind me never to use United Airlines. Bragging about your support of drag queens &amp; such is no way to attract customers. U…,,
11,FreeganBCN,Fri Jun 28 23:33:20 +0000 2019,"@josepopinion @PhenomenaExp sorry, but the best place to see MAtrix at BCN now is 4DX Filmax Gran Via 2,triple Scre… https://t.co/8UtliALkxB",,
12,Flight_Refunds,Fri Jun 28 23:30:30 +0000 2019,RT @chrisansorger: Why does United Airlines @united hate #YYC? After weather delay #IAH gave our plane to other flight.,"London, UK",
13,m_a_flores,Fri Jun 28 23:29:10 +0000 2019,"Picking up 
Lil’ Maya
Returning from Costa Rica — at United Airlines - Lax https://t.co/WJFDbqVIPd",Los Angeles - Adams-Normandie ,
14,LLazare_ChiBiz,Fri Jun 28 23:27:35 +0000 2019,ExpressJet mechanics ask for mediation while United Airlines watches https://t.co/9bofVulSim via @ChiBizJournal,"Chicago, IL., USA",
15,realmaciej,Fri Jun 28 23:26:19 +0000 2019,RT @timjue: American Airlines has surrendered its 14 weekly US-China route authorities. AA dropped Chicago-Shanghai &amp; Beijing services last…,NYC,
16,ponysnuggles,Fri Jun 28 23:25:19 +0000 2019,"New wardrobe coming in 2020!!! I LOVE United Airlines!!! ""Premium Purple"" and ""Atlantic Amethyst"" are my new favori… https://t.co/IuJkvlggP7",,
17,chrisansorger,Fri Jun 28 23:24:16 +0000 2019,Why does United Airlines @united hate #YYC? After weather delay #IAH gave our plane to other flight.,"Egham, UK",
18,Lizzy20186822,Fri Jun 28 23:20:41 +0000 2019,"RT @BTAsiaPacific: United Airlines will operate a second non-stop flight between Hong Kong and San Francisco from October, giving passenger…",,
19,UKHashtags,Fri Jun 28 23:19:32 +0000 2019,"RT @lgbtbigstamp: United Airlines Inducted as Stonewall Ambassador in Recognition of Ongoing Commitment to LGBTQ+ Community
#news #lgbt #At…",UK,
20,Siwckc,Fri Jun 28 23:19:01 +0000 2019,"Scroll...Part I

Celebrated #StonewallDay with prideliveofficial by #StonewallInn This day was ☉🌡🔥 but the vibe, en… https://t.co/9IUGTbMmvU","Brooklyn, NY",
21,katskloset,Fri Jun 28 23:15:01 +0000 2019,"🐜 Oh, My 🐜 #TravelMayhemMonday https://t.co/6lIEpkXVBJ https://t.co/tDpxEJEE05","Southside, AR",
22,kimb1rd,Fri Jun 28 23:13:48 +0000 2019,RT @LockSusie: Shout out to Amy -United Airlines Kansas City.. delay on first leg of international flight. Amy went above and beyond in unc…,,
23,Galveston19481,Fri Jun 28 23:08:06 +0000 2019,RT @andrearumbaugh: United Airlines is serving one final indignity to Houston: It’s removing the word “Continental” from the name of its pa…,Texas,
24,Yoh_RX,Fri Jun 28 23:06:17 +0000 2019,"Spider-Man Spider-Man does what ever a spider can.

United Airlines Spider-Man Far From Home Special Screening with… https://t.co/WPbqZgHpzM",,"{'type': 'Point', 'coordinates': [-73.99438059, 40.752305]}"
25,lenny_miller,Fri Jun 28 23:04:59 +0000 2019,"RT @SpeedBird_NCL: United and Southwest are still cancelling thousands of flights because of the Boeing 737 Max grounding:
https://t.co/PUg…",,
26,gdinges,Fri Jun 28 23:02:55 +0000 2019,RT @andrearumbaugh: United Airlines is serving one final indignity to Houston: It’s removing the word “Continental” from the name of its pa…,"Austin, Texas",
