,text,tweet_coord,tweet_created,tweet_location
0, thanks,,2015-02-24 11:42:48 -0800,usa
1, Thanks for taking care of that MR Happy customer,,2015-02-24 11:42:41 -0800,"Richmond, VA"
2, still no refund or word via DM Please resolve this issue as your Cancelled Flightled flight was useless to my assistants trip,,2015-02-24 11:39:45 -0800,"Bay Area, California "
3, Delayed due to lack of crew and now delayed again because theres a long line for deicing Still need to improve service united,,2015-02-24 11:39:25 -0800,
4, thanks  we filled it out Hows our luck with this Is it common,,2015-02-24 11:38:15 -0800,
5, Your ERIORD express connections are hugely popular  now if only we could have an ERIEWR hop ,,2015-02-24 11:36:12 -0800,"Erie, PA"
6, even on international flight Glasgow to the US Then what about orlando to Newark All 90 mins,,2015-02-24 11:33:46 -0800,"Kilmarnock, now Edinburgh. "
7, you think you boarded flight AU1066 too early I think so,"[19.43706642, -99.07927123]",2015-02-24 11:31:01 -0800,New York
8, I understand but its tough when there is no way to get to the airport wo serious risk of an accident Its a steep price,,2015-02-24 11:20:56 -0800,"Berkeley Heights, NJ"
9, Gate agent hooked me up with alternate flights If you have a way to PREVENT the constant issues that would rock,,2015-02-24 11:19:32 -0800,"Columbus, Ohio"
10, flying glamco in a few weeks How long do we have to be at airport for before departure for both international and domestic Ta,,2015-02-24 11:18:08 -0800,"Kilmarnock, now Edinburgh. "
12, Thanks It is on the same ticket,,2015-02-24 11:10:47 -0800,"Portland, OR"
13, why not Is it a law or a policy,,2015-02-24 11:09:04 -0800,Harrisburg
14, is the worst Nonrefundable First class tickets Oh because when you select GlobalFC their system auto selects economy wupgrade,,2015-02-24 11:08:15 -0800,Las Vegas 
15,  So I can buy tix 3 days before flight but cant transfer the tix  Flawed security logic Flawed customer service,,2015-02-24 11:07:12 -0800,
16, I did start a claim but 810 weeks is unrealistic am I really supposed to go that long with out a car seat for my childRidiculous,,2015-02-24 11:05:21 -0800,
17, follow me please this airline is beautifull ,,2015-02-24 11:05:11 -0800,"Brooklin, New York"
18, no I dont but Im sure United have my info on its system,,2015-02-24 11:03:39 -0800,USA
19, if the car seat is lost  should just reimburse me for a new one this is not a pair of shoes its a necessity for my child,,2015-02-24 11:03:37 -0800,
20, Just submitted my response on the link you sent,,2015-02-24 11:03:26 -0800,
21, yes David Allan send an email with this number KMM24999563V99860L0KM and case8719519,,2015-02-24 10:57:49 -0800,USA
22,  that totally sucks my cousin worked at PHL said ,,2015-02-24 10:54:48 -0800,
23, just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase Let her know she wasappreciated,"[39.8621249, -104.6740909]",2015-02-24 10:50:37 -0800,New Jersey/Maryland
24, yes a paper voucher that I got on January 26th 2015,,2015-02-24 10:49:25 -0800,USA
25, beginning of Feb I called United they said they would send another voucher by mail Never got anything tiredofwaiting,,2015-02-24 10:48:28 -0800,USA
26, the internet is a great thing  I am emailing executives in your company maybe they will respond to me in a timely manner,,2015-02-24 10:47:29 -0800,"Parkersburg, WV"
27, Do I need to use a Chase United Club pass for my 8yr old son or can he come in with me on my pass,,2015-02-24 10:44:44 -0800,South Carolina
28, and what am I suppose to do with that number,,2015-02-24 10:39:11 -0800,
29, thats weak See ya  Hey  ,,2015-02-24 10:38:58 -0800,NYC
30, I flew back w other company since United didnt have an earlier flight,,2015-02-24 10:38:17 -0800,USA
31, I lost a voucher that I was given in Miami aeroport on jan 26 I did not use it,,2015-02-24 10:37:41 -0800,USA
32, I am trying to book awards for September and need flights on  but they will not show even w many award seats availab,,2015-02-24 10:36:35 -0800,
33, I sure did   I had to drive a total of 3 hours to get my own bag  Id like to explain that debacle but no one wants to talk to me,,2015-02-24 10:35:42 -0800,"Parkersburg, WV"
34,  Gee thats like almost caring about ppl more than   Think Im more int in having a trusted adult w daughter ,,2015-02-24 10:33:54 -0800,
35, See We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr  After we boarded there was a defibrillator issue,,2015-02-24 10:30:53 -0800,
36, why no preferred security line anymore My TSA precheck didnt pull on my  partner flight Platinum spoiled,,2015-02-24 10:30:00 -0800,Tampa
37, Newarkliberty Airport need to indicate different gates for terminals AampC Flyingainteasy,,2015-02-24 10:25:12 -0800,"Washington, DC"
38, yes please I am newly married and trying to update my last name on a preexisting international flight It seems so easy but,,2015-02-24 10:19:32 -0800,
39, How does United refuse to reissue a 400 lost voucher when their plane didnt take off due to mechanics badcustomerservice,,2015-02-24 10:19:22 -0800,USA
40, also during the run I was instructed to do I shattered my computer ,,2015-02-24 10:18:07 -0800,DC
41, yes weve been with the agents for the last 50 minutes One of the agents have been very rude but thankfully Ladan has been nice,,2015-02-24 10:16:16 -0800,DC
42, thats right with an overnight Miami,,2015-02-24 10:14:19 -0800,btv
43, Have clients with an 11 hr layover at IAH during the day Will they have to claim amp recheck luggage Or will it be taken care of,,2015-02-24 10:14:11 -0800,"Portland, OR"
44, I am trying to find out if the loaner seat is new or used a used car seat is illegal according to safety regulations,,2015-02-24 10:14:02 -0800,
45, i DMed you the details,,2015-02-24 10:12:21 -0800,NYC
46, iah to charlotte Baggage claim rep latrice h customerservice non existent Ignored customer then inappropriately touched customer,,2015-02-24 10:11:38 -0800,"Houston, TX"
47, Kewl Will also let them know the overhead bin over my row was Inop I love a good abbreve,,2015-02-24 10:09:10 -0800,Los Angeles
48,  thanks for your helpgot me what I need but its an issue with austrian  I guess I sit awhile longer,,2015-02-24 10:06:47 -0800,The Center of My Universe
49,   I would have loved to respond to your website until I saw the really long form In business the new seats are bad,,2015-02-24 10:06:13 -0800,California/Nevada
50, A refund and flight vouchers or another flight on a different airline at your expense for today 8 hour drive is very inconvenient,,2015-02-24 10:05:45 -0800,"Kansas City, MO"
51, then why have I not received my call back its been 3 daysits an infant car seat how am I supposed to go anywhere with my child,,2015-02-24 10:00:20 -0800,
52, thanks again for your concern I will contact customer care upon our return from Australia,,2015-02-24 10:00:19 -0800,
53, well sitting on the ground on time but waiting for a gateagain tiredofthis,,2015-02-24 09:54:12 -0800,
54, Airport snow removal method 22 Keep up the good work folks this is where Cessnas become 747s ,,2015-02-24 09:50:55 -0800,"Astoria, OR"
55, No I need you guys to not over book planes Its not a concern Ill just travel with someone else moving forward,,2015-02-24 09:44:10 -0800,"Colorado Springs, Colorado"
56, A measly 50 ecertificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116 unacceptable,,2015-02-24 09:42:45 -0800,San Francisco Bay Area
57, When will email addressusername signon be available Its been a while,,2015-02-24 09:41:46 -0800,945XX to 111XX
58, Thank you for that Am I able to claim any interim expenses or is the cost of the stuff up on me,,2015-02-24 09:39:15 -0800,
59, rude rude,,2015-02-24 09:37:38 -0800,"Austin, TX"
60,  Why cant I get a boarding pass for my Austrian Airlines codeshare flight Rebook incls a 6 hour layover amp I am stuck outside sec,,2015-02-24 09:36:12 -0800,The Center of My Universe
61, I received on other flights united  truly breaks guitars unitedbreaksguitars wantmymoneyback,,2015-02-24 09:34:00 -0800,"Jerusalem, Israel"
62, just flew to TelAviv paid 100 from a third suitcase which didnt even make it on the plane Besides for the impolite service,,2015-02-24 09:32:46 -0800,"Jerusalem, Israel"
63,  My bag is still in Colo Springs I am disabled and have to search an unfamiliar airport and look for my bag Not a good outcome,,2015-02-24 09:32:43 -0800,"Jacksonville, FL"
64, Shame that theres no flex to tickets transfer rules  Even calling from Neurosurgery ICU isnt enough,,2015-02-24 09:32:39 -0800,
65, No Denver said they dont handle baggage that made it to Colo Springs  They gave me an 800 number to call No help there either,,2015-02-24 09:24:12 -0800,"Jacksonville, FL"
66, you guys need some serious training in customer service Too many better options to put up with the way you guys handle ur mistakes,,2015-02-24 09:22:16 -0800,
67, 6533 ORD to DCA,,2015-02-24 09:21:51 -0800,
